dataset_id,dataset,feature_resolution,feature_type,mapper,training_resolution,run_id,outer_run_id,row_type,patch_id,status,sfm_status,patch_size,gaussian_limit,max_width,ssim,psnr,lpips,metric_source,eval_target_source,eval_image_width,eval_image_height,training_runtime_seconds,actual_splat_count,peak_ram_mib,peak_vram_mib,failure_reason,sfm_warning,updated_at,source_uri
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_500k,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p000,COMPLETE,complete,200,500000,,0.6904743790626526,22.806065507450064,0.5099203571677208,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,383.139,500000,7600,9843,completed_requested_iterations,,2026-07-12T04:32:38.473445+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_500k,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p008,COMPLETE,complete,200,500000,,0.7053208781613244,22.705760825361544,0.4792579644256168,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,334.344,500000,8146,13629,completed_requested_iterations,,2026-07-12T04:41:43.766408+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_500k,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p017,COMPLETE,complete,200,500000,,0.7006993168278745,22.60486126471437,0.513510840503793,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,328.845,500000,8258,13655,completed_requested_iterations,,2026-07-12T04:50:53.216413+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_500k,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p025,COMPLETE,complete,200,500000,,0.6754841473367479,21.65184558739161,0.4918825411134296,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,332.223,500000,8080,13629,completed_requested_iterations,,2026-07-12T05:00:02.237392+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_500k,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p034,COMPLETE,complete,200,500000,,0.6589806212319268,21.51846132019874,0.4937758031818602,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,329.409,500000,7989,13617,completed_requested_iterations,,2026-07-12T05:09:07.425827+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_500k,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p042,COMPLETE,complete,200,500000,,0.6272316733996074,20.98275854974024,0.48610020279884336,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,314.909,500000,7884,13581,completed_requested_iterations,,2026-07-12T05:17:22.378130+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_500k,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p051,COMPLETE,complete,200,500000,,0.6683905512094498,22.28979524417235,0.5344674587249756,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,327.829,500000,8111,13627,completed_requested_iterations,,2026-07-12T05:26:46.716129+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_500k,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p059,COMPLETE,complete,200,500000,,0.6378369182348251,21.055070458754862,0.5319688856601715,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,333.625,500000,8091,13695,completed_requested_iterations,,2026-07-12T05:36:20.825236+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_500k,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p068,COMPLETE,complete,200,500000,,0.619202846288681,20.612662080437403,0.5565182477235794,python_full_resolution_undistorted,full_resolution_undistorted,5363,4712,316.925,500000,8102,13695,completed_requested_iterations,,2026-07-12T05:45:36.761861+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_500k,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p076,COMPLETE,complete,200,500000,,0.6596321165561676,21.202600477099438,0.5137847744756274,python_full_resolution_undistorted,full_resolution_undistorted,5363,4712,321.753,500000,7984,13617,completed_requested_iterations,,2026-07-12T05:54:36.377613+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
